PMID,Model Numbers,Model Name,Model Type,Prediction Variables,AUC Values (Development),C-index Values (Development),Accuracy (Development),F1-score (Development),Calibration Values (Development),Nomogram Application,Use of TRIPOD Guidelines
39076472,4,Alpha Proportional Jaccard Index (APJI),"Logistic Regression, Support Vector Classifier, Random Forest, Extreme Gradient Boosting","comorbidity indicators (binary or proportion-based), associated ORs, alpha indices, patient demographics (age and sex), and similarity-based metrics (JI, PJI, OPJI, APJI)","0.708–0.878 (Q1: 0.76, Q2: 0.781, Q3: 0.81225)",N/A,0.674–0.774,0.674–0.773,N/A,No,No
39611013,2,Model 1,Multivariate COX regression,"History of hypertension, history of CI, SBP, RBC, RDW-CV",N/A,0.719 (95% CI: 0.677–0.761),N/A,N/A,N/A,No,No
39611013,2,Model 2,LASSO regression + Random Forest + Multivariate COX regression,"History of hypertension, history of CI, cerebral artery stenosis, carotid atherosclerosis (CAS), SBP, RDW-CV, MPV, UA",N/A,0.777 (95% CI: 0.732–0.821),N/A,N/A,N/A,Yes,No
34860663,4,Naïve Bayes,Naïve Bayes,"Age, Gender, Albumin (urine), Creatinine (urine), White blood cell count, Lymphocytes, Monocytes, Segmented neutrophils, Eosinophils, Basophils, Red blood cell count, Hemoglobin, Hematocrit, Mean cell volume, Mean cell hemoglobin, Mean corpuscular hemoglobin concentration, Red cell distribution width, Platelet count, Mean platelet volume, Cotinine (serum), Red blood cell folate",0.74,N/A,0.82,N/A,N/A,No,No
34860663,4,BayesNet,Bayesian Network,"Age, Gender, Albumin (urine), Creatinine (urine), White blood cell count, Lymphocytes, Monocytes, Segmented neutrophils, Eosinophils, Basophils, Red blood cell count, Hemoglobin, Hematocrit, Mean cell volume, Mean cell hemoglobin, Mean corpuscular hemoglobin concentration, Red cell distribution width, Platelet count, Mean platelet volume, Cotinine (serum), Red blood cell folate",0.85,N/A,0.87,N/A,N/A,No,No
34860663,4,J48,Decision Tree (C4.5),"Age, Gender, Albumin (urine), Creatinine (urine), White blood cell count, Lymphocytes, Monocytes, Segmented neutrophils, Eosinophils, Basophils, Red blood cell count, Hemoglobin, Hematocrit, Mean cell volume, Mean cell hemoglobin, Mean corpuscular hemoglobin concentration, Red cell distribution width, Platelet count, Mean platelet volume, Cotinine (serum), Red blood cell folate",0.86,N/A,0.93,N/A,N/A,No,No
34860663,4,Random Forest,Random Forest,"Age, Gender, Albumin (urine), Creatinine (urine), White blood cell count, Lymphocytes, Monocytes, Segmented neutrophils, Eosinophils, Basophils, Red blood cell count, Hemoglobin, Hematocrit, Mean cell volume, Mean cell hemoglobin, Mean corpuscular hemoglobin concentration, Red cell distribution width, Platelet count, Mean platelet volume, Cotinine (serum), Red blood cell folate",0.97,N/A,0.96,N/A,N/A,No,No
37970129,2,Nomogram Model,Logistic regression-based nomogram,"Preconception BMI, family history of diabetes, GDM history, macrosomia, hypertension, Hb level, triglyceride level, serum ferritin, fasting blood glucose in first trimester",0.850 (95% CI: 0.782–0.918),N/A,N/A,N/A,N/A,Yes,No
37970129,2,Random Forest Model,Random forest,"Preconception BMI, family history of diabetes, GDM history, macrosomia, hypertension, Hb level, triglyceride level, serum ferritin, fasting blood glucose in first trimester",0.918 (95% CI: 0.868–0.967),N/A,N/A,N/A,N/A,No,No
36456970,2,Basic Model,Logistic regression,"Age, family history of diabetes, history of GDM, pre-pregnancy BMI, WBC, PLT, MPV, creatinine, uric acid, FBG",0.736 (95% CI: 0.70–0.77) (Validation),N/A,N/A,N/A,Hosmer-Lemeshow test p-value = 0.684 (Validation); Calibration curve shows predicted probability aligns with actual probability,Yes,No
36456970,2,Extended Model,Logistic regression,"Age, history of GDM, pre-pregnancy BMI, HCT, MPV, creatinine, uric acid, FBG, ALT, APTT, FIB, PAPP-A",0.763 (95% CI: 0.73–0.80) (Validation),N/A,N/A,N/A,Hosmer-Lemeshow test p-value = 0.635 (Validation); Calibration curve shows predicted probability aligns with actual probability,Yes,No
34233656,1,AD Risk Prediction Model,Logistic regression,"Sex, age, economic status, health status, lifestyle, genetic risk",0.801,N/A,N/A,N/A,Hosmer-Lemeshow test p = 0.994 (validation set); calibration curve shows good fit with validation set,Yes,No
32324812,9,BSWiMS Top100,Logistic regression (Bootstrapping Stage-Wise Model Selection),32 SNPs,0.68,N/A,0.686,N/A,N/A,No,No
32324812,9,BSWiMS T1k,Logistic regression (Bootstrapping Stage-Wise Model Selection),55 SNPs,0.69,N/A,0.699,N/A,N/A,No,No
32324812,9,GALGO Top100,Genetic Algorithm + Support Vector Machine + Forward Selection,49 SNPs,0.708,N/A,0.72,N/A,N/A,No,No
32324812,9,GALGO T1k,Genetic Algorithm + Support Vector Machine + Forward Selection,42 SNPs,0.716,N/A,0.726,N/A,N/A,No,No
32324812,9,LASSO Top100,LASSO (L1-regularized logistic regression),71 SNPs,0.744,N/A,0.766,N/A,N/A,No,No
32324812,9,LASSO T1k,LASSO (L1-regularized logistic regression),433 SNPs,0.801,N/A,0.801,N/A,N/A,No,No
32324812,9,LASSO Missed (Test),LASSO (L1-regularized logistic regression),49 SNPs,0.905,N/A,0.929,N/A,N/A,No,No
32324812,9,LASSO SNPs Mix,LASSO (L1-regularized logistic regression),493 SNPs,0.801,N/A,0.797,N/A,N/A,No,No
32324812,9,LASSO Models Mix,LASSO (L1-regularized logistic regression),358 SNPs,0.842,N/A,0.844,N/A,N/A,No,No
35365675,5,Genetics,MLPClassifier,"51 SNPs, polygenic risk score (PRS)",70.66%,N/A,70.00%,N/A,N/A,No,Yes
35365675,5,Clinico-demographic,LogisticRegression,"Age, family history, UPSIT score, sex",87.52%,N/A,79.44%,N/A,N/A,No,Yes
35365675,5,Transcriptomics,SVC,418 protein-coding transcripts,79.73%,N/A,73.89%,N/A,N/A,No,Yes
35365675,5,Combined,AdaBoostClassifier,"51 SNPs, 418 protein-coding transcripts, age, family history, UPSIT score, PRS",85.03%,N/A,75.00%,N/A,N/A,No,Yes
35365675,5,UPSIT-only,N/A,UPSIT score,90.10%,N/A,N/A,N/A,N/A,No,Yes
34745218,4,PRS,Logistic Regression,57 SNPs (p-value threshold 0.05),0.56 [95% CI: 0.42–0.81],N/A,0.6,N/A,N/A,No,No
34745218,4,Deep Learning,Deep Learning,Abstract embeddings of SNPs,0.67 [95% CI: 0.47–0.83],N/A,0.6,N/A,N/A,No,No
34745218,4,LASSO w/ Feature Selection,LASSO Regression,47 SNPs with interaction terms,0.85 [95% CI: 0.72–0.96],N/A,0.81,N/A,N/A,No,No
34745218,4,LASSO w/o Feature Selection,LASSO Regression,SNPa,0.51 [95% CI: 0.39–0.63],N/A,0.62,N/A,N/A,No,No
34528757,2,HFpEF Risk Prediction Model,Cox regression,"Age, diabetes, BMI, COPD, previous MI, antihypertensive treatment, SBP, smoking status, atrial fibrillation, eGFR",N/A,Validation: White men: 0.739 (SE: 0.002); Black men: 0.764 (SE: 0.005); White women: 0.793 (SE: 0.015); Black women: 0.772 (SE: 0.026),N/A,N/A,Validation: Calibration plots show mean predicted 10-year risk vs. observed 10-year risk (Kaplan–Meier) for each race-sex stratum; generally well-calibrated,Yes,No
34528757,2,HFrEF Risk Prediction Model,Cox regression,"Age, diabetes, BMI, COPD, previous MI, previous CAD, antihypertensive treatment, SBP, smoking status, atrial fibrillation, eGFR",N/A,Validation: White men: 0.724 (SE: 0.002); Black men: 0.719 (SE: 0.004); White women: 0.769 (SE: 0.017); Black women: 0.745 (SE: 0.028),N/A,N/A,Validation: Calibration plots show mean predicted 10-year risk vs. observed 10-year risk (Kaplan–Meier) for each race-sex stratum; generally well-calibrated,Yes,No
35141294,1,N/A,Logistic regression,"Full-time work, self-financed medical care, non-marital status, poor knowledge of hypertension diagnosis, poor drug compliance, poor knowledge of hypertension treatment, unwillingness to remind blood pressure measurement information",0.771,0.771,N/A,N/A,"Hosmer-Lemeshow test: χ² = 6.5649, P = 0.5842 (Development set)",Yes,No
35896590,6,N/A,Cox proportional hazards model,"Age, sex, BMI, systolic blood pressure (SBP), diabetes, cardiovascular disease (CVD), total physical activity time",N/A,0.77,N/A,N/A,"Grønnesby and Borgan (GB) test: statistic 8.75, p=0.07; Brier score at 4, 5, 6, 7 years: 0.018, 0.021, 0.026, 0.029; calibration slope: 1.006 (validation set)",Yes,No
35896590,6,Framingham Risk Score (Parikh et al.),Cox proportional hazards model,"Age, sex, SBP, diastolic blood pressure (DBP), BMI, parental hypertension, cigarette smoking, age by DBP",0.729,0.729,N/A,N/A,N/A,No,No
35896590,6,Whitehall II Risk Score (Kivimäki et al.),Cox proportional hazards model,"Age, sex, SBP, DBP, BMI, parental hypertension, cigarette smoking",0.581,0.581,N/A,N/A,N/A,No,No
35896590,6,N/A,Cox proportional hazards model,"Age, sex, SBP, DBP, BMI, parental hypertension, cigarette smoking",0.737,0.737,N/A,N/A,N/A,No,No
35896590,6,N/A,Cox proportional hazards model,"Age, gender, BMI, SBP, DBP",0.732,0.732,N/A,N/A,N/A,No,No
35896590,6,N/A,Cox proportional hazards model,"Age, parental hypertension, SBP, DBP, BMI, age by BMI",0.735,0.735,N/A,N/A,N/A,No,No
