PMID,Model Numbers,Model Stage,Model Name,Model Type,Prediction Variables,AUC Values,C-index Values,Accuracy,F1-score,Calibration Values,Nomogram Application,Use of TRIPOD Guidelines
39076472,1,Development/internal validation,Jaccard Index (JI),"Logistic Regression, Support Vector Classifier, Random Forest, Extreme Gradient Boosting","comorbidity indicators (binary or proportion-based), associated ORs, alpha indices, patient demographics (age and sex), similarity-based metrics (JI, PJI, OPJI, APJI)","0.586–0.695 (Q1: 0.625, Q2: 0.644, Q3: 0.663)",N/A,0.614–0.625,0.613–0.623,N/A,No,No
39076472,2,Development/internal validation,Proportional Jaccard Index (PJI),"Logistic Regression, Support Vector Classifier, Random Forest, Extreme Gradient Boosting","comorbidity indicators (binary or proportion-based), associated ORs, alpha indices, patient demographics (age and sex), similarity-based metrics (JI, PJI, OPJI, APJI)","0.706–0.873 (Q1: 0.759, Q2: 0.7815, Q3: 0.808)",N/A,0.674–0.773,0.674–0.772,N/A,No,No
39076472,3,Development/internal validation,Odds Ratio Proportional Jaccard Index (OPJI),"Logistic Regression, Support Vector Classifier, Random Forest, Extreme Gradient Boosting","comorbidity indicators (binary or proportion-based), associated ORs, alpha indices, patient demographics (age and sex), similarity-based metrics (JI, PJI, OPJI, APJI)","0.729–0.875 (Q1: 0.786, Q2: 0.813, Q3: 0.83525)",N/A,0.729–0.775,0.728–0.775,N/A,No,No
39076472,4,Development/internal validation,Alpha Proportional Jaccard Index (APJI),"Logistic Regression, Support Vector Classifier, Random Forest, Extreme Gradient Boosting","comorbidity indicators (binary or proportion-based), associated ORs, alpha indices, patient demographics (age and sex), similarity-based metrics (JI, PJI, OPJI, APJI)","0.708–0.878 (Q1: 0.76, Q2: 0.781, Q3: 0.81225)",N/A,0.674–0.774,0.674–0.773,N/A,No,No
39611013,1,Development/internal validation,Model 1,Multivariate COX regression,"History of hypertension, history of CI, SBP, RBC, RDW-CV",N/A,0.719 (95% CI: 0.677–0.761),N/A,N/A,N/A,No,No
39611013,2,Development/internal validation,Model 2,LASSO regression + Random Forest + Multivariate COX regression,"History of hypertension, history of CI, cerebral artery stenosis, carotid atherosclerosis (CAS), SBP, RDW-CV, MPV, UA",N/A,0.777 (95% CI: 0.732–0.821),N/A,N/A,N/A,Yes,No
34860663,1,Development/internal validation,Naïve Bayes,Naïve Bayes,"Age, Gender, Albumin (urine), Creatinine (urine), White blood cell count, Lymphocytes, Monocytes, Segmented neutrophils, Eosinophils, Basophils, Red blood cell count, Hemoglobin, Hematocrit, Mean cell volume, Mean cell hemoglobin, Mean corpuscular hemoglobin concentration, Red cell distribution width, Platelet count, Mean platelet volume, Cotinine (serum), Red blood cell folate",0.74,N/A,0.82,N/A,N/A,No,No
34860663,2,Development/internal validation,BayesNet,Bayesian Network,"Age, Gender, Albumin (urine), Creatinine (urine), White blood cell count, Lymphocytes, Monocytes, Segmented neutrophils, Eosinophils, Basophils, Red blood cell count, Hemoglobin, Hematocrit, Mean cell volume, Mean cell hemoglobin, Mean corpuscular hemoglobin concentration, Red cell distribution width, Platelet count, Mean platelet volume, Cotinine (serum), Red blood cell folate",0.85,N/A,0.87,N/A,N/A,No,No
34860663,3,Development/internal validation,J48,Decision Tree (C4.5),"Age, Gender, Albumin (urine), Creatinine (urine), White blood cell count, Lymphocytes, Monocytes, Segmented neutrophils, Eosinophils, Basophils, Red blood cell count, Hemoglobin, Hematocrit, Mean cell volume, Mean cell hemoglobin, Mean corpuscular hemoglobin concentration, Red cell distribution width, Platelet count, Mean platelet volume, Cotinine (serum), Red blood cell folate",0.86,N/A,0.93,N/A,N/A,No,No
34860663,4,Development/internal validation,Random Forest,Random Forest,"Age, Gender, Albumin (urine), Creatinine (urine), White blood cell count, Lymphocytes, Monocytes, Segmented neutrophils, Eosinophils, Basophils, Red blood cell count, Hemoglobin, Hematocrit, Mean cell volume, Mean cell hemoglobin, Mean corpuscular hemoglobin concentration, Red cell distribution width, Platelet count, Mean platelet volume, Cotinine (serum), Red blood cell folate",0.97,N/A,0.96,N/A,N/A,No,No
37970129,1,Development/internal validation,Nomogram Model,Logistic regression-based nomogram,"Preconception BMI, family history of diabetes, GDM history, macrosomia, hypertension, Hb level, triglyceride level, serum ferritin, fasting blood glucose in first trimester",0.850 (95% CI: 0.782–0.918),N/A,N/A,N/A,N/A,Yes,No
37970129,2,Development/internal validation,Random Forest Model,Random forest,"Preconception BMI, family history of diabetes, GDM history, macrosomia, hypertension, Hb level, triglyceride level, serum ferritin, fasting blood glucose in first trimester",0.918 (95% CI: 0.868–0.967),N/A,N/A,N/A,N/A,No,No
36456970,1,Development/internal validation,Basic Model,Logistic regression,"Age, family history of diabetes, history of GDM, pre-pregnancy BMI, WBC, PLT, MPV, creatinine, uric acid, FBG",0.736 (95% CI: 0.70–0.77) (Validation),N/A,N/A,N/A,Hosmer-Lemeshow test p-value = 0.684 (Validation); Calibration curve shows predicted probability aligns with actual probability,Yes,No
36456970,2,Development/internal validation,Extended Model,Logistic regression,"Age, history of GDM, pre-pregnancy BMI, HCT, MPV, creatinine, uric acid, FBG, ALT, APTT, FIB, PAPP-A",0.763 (95% CI: 0.73–0.80) (Validation),N/A,N/A,N/A,Hosmer-Lemeshow test p-value = 0.635 (Validation); Calibration curve shows predicted probability aligns with actual probability,Yes,No
34233656,1,Development/internal validation,AD Risk Prediction Model,Logistic regression,"Sex, age, economic status, health status, lifestyle, genetic risk",0.801,N/A,N/A,N/A,Hosmer-Lemeshow test p = 0.994 (validation set); calibration curve shows good fit with validation set,Yes,No
32324812,1,Development/internal validation,BSWiMS Top100,Logistic regression (Bootstrapping Stage-Wise Model Selection),32 SNPs,0.68,N/A,0.686,N/A,N/A,No,No
32324812,2,Development/internal validation,BSWiMS T1k,Logistic regression (Bootstrapping Stage-Wise Model Selection),55 SNPs,0.69,N/A,0.699,N/A,N/A,No,No
32324812,3,Development/internal validation,GALGO Top100,Genetic Algorithm + Support Vector Machine + Forward Selection,49 SNPs,0.708,N/A,0.72,N/A,N/A,No,No
32324812,4,Development/internal validation,GALGO T1k,Genetic Algorithm + Support Vector Machine + Forward Selection,42 SNPs,0.716,N/A,0.726,N/A,N/A,No,No
32324812,5,Development/internal validation,LASSO Top100,LASSO (L1-regularized logistic regression),71 SNPs,0.744,N/A,0.766,N/A,N/A,No,No
32324812,6,Development/internal validation,LASSO T1k,LASSO (L1-regularized logistic regression),433 SNPs,0.801,N/A,0.801,N/A,N/A,No,No
32324812,7,Development/internal validation,LASSO Missed (Test),LASSO (L1-regularized logistic regression),49 SNPs,0.905,N/A,0.929,N/A,N/A,No,No
32324812,8,Development/internal validation,LASSO SNPs Mix,LASSO (L1-regularized logistic regression),493 SNPs,0.801,N/A,0.797,N/A,N/A,No,No
32324812,9,Development/internal validation,LASSO Models Mix,LASSO (L1-regularized logistic regression),358 SNPs,0.842,N/A,0.844,N/A,N/A,No,No
35365675,1,Development/internal validation,Genetics,MLPClassifier,"51 SNPs, polygenic risk score (PRS)",70.66%,N/A,70.00%,N/A,N/A,No,Yes
35365675,2,Development/internal validation,Clinico-demographic,LogisticRegression,"Age, family history, UPSIT score, sex",87.52%,N/A,79.44%,N/A,N/A,No,Yes
35365675,3,Development/internal validation,Transcriptomics,SVC,418 protein-coding transcripts,79.73%,N/A,73.89%,N/A,N/A,No,Yes
35365675,4,Development/internal validation,Combined,AdaBoostClassifier,"51 SNPs, 418 protein-coding transcripts, age, family history, UPSIT score, PRS",85.03%,N/A,75.00%,N/A,N/A,No,Yes
35365675,5,Development/internal validation,UPSIT-only,N/A,UPSIT score,90.10%,N/A,N/A,N/A,N/A,No,Yes
34745218,1,Development/internal validation,PRS,Logistic Regression,SNPs,0.56 [95% CI: 0.42–0.81],N/A,0.6,N/A,N/A,No,No
34745218,2,Development/internal validation,Deep Learning,Deep Learning,SNPs,0.67 [95% CI: 0.47–0.83],N/A,0.6,N/A,N/A,No,No
34745218,3,Development/internal validation,LASSO w/ Feature Selection,LASSO Regression,SNPs,0.85 [95% CI: 0.72–0.96],N/A,0.81,N/A,N/A,No,No
34745218,4,Development/internal validation,LASSO w/o Feature Selection,LASSO Regression,SNPs,0.51 [95% CI: 0.39–0.63],N/A,0.62,N/A,N/A,No,No
34528757,1,External validation,HFpEF Risk Prediction Model,Cox regression,"Age, diabetes, BMI, COPD, previous MI, antihypertensive treatment, SBP, smoking status, atrial fibrillation, eGFR",N/A,Validation: White men: 0.739 (SE: 0.002); Black men: 0.764 (SE: 0.005); White women: 0.793 (SE: 0.015); Black women: 0.772 (SE: 0.026),N/A,N/A,Validation: Calibration plots show mean predicted 10-year risk vs. observed 10-year risk (Kaplan–Meier) for each race-sex stratum; generally well-calibrated,Yes,No
34528757,2,External validation,HFrEF Risk Prediction Model,Cox regression,"Age, diabetes, BMI, COPD, previous MI, previous CAD, antihypertensive treatment, SBP, smoking status, atrial fibrillation, eGFR",N/A,Validation: White men: 0.724 (SE: 0.002); Black men: 0.719 (SE: 0.004); White women: 0.769 (SE: 0.017); Black women: 0.745 (SE: 0.028),N/A,N/A,Validation: Calibration plots show mean predicted 10-year risk vs. observed 10-year risk (Kaplan–Meier) for each race-sex stratum; generally well-calibrated,Yes,No
35141294,1,Development/internal validation,N/A,Logistic regression,"Full-time work, self-financed medical care, non-marital status, poor knowledge of hypertension diagnosis, poor drug compliance, poor knowledge of hypertension treatment, unwillingness to remind blood pressure measurement information",0.771,0.771,N/A,N/A,"Hosmer-Lemeshow test: χ² = 6.5649, P = 0.5842 (Development set)",Yes,No
35896590,1,Development/internal validation,N/A,Cox proportional hazards model,"Age, sex, BMI, systolic blood pressure (SBP), diabetes, cardiovascular disease (CVD), total physical activity time",N/A,0.77,N/A,N/A,"Grønnesby and Borgan (GB) test: statistic 8.75, p=0.07; Brier score at 4, 5, 6, 7 years: 0.018, 0.021, 0.026, 0.029; calibration slope: 1.006 (validation set)",Yes,No
35896590,2,Development/internal validation,Framingham Risk Score (Parikh et al.),Cox proportional hazards model,"Age, sex, SBP, diastolic blood pressure (DBP), BMI, parental hypertension, cigarette smoking, age by DBP",0.729,0.729,N/A,N/A,N/A,No,No
35896590,3,Development/internal validation,Whitehall II Risk Score (Kivimäki et al.),Cox proportional hazards model,"Age, sex, SBP, DBP, BMI, parental hypertension, cigarette smoking",0.581,0.581,N/A,N/A,N/A,No,No
35896590,4,Development/internal validation,N/A,Cox proportional hazards model,"Age, sex, SBP, DBP, BMI, parental hypertension, cigarette smoking",0.737,0.737,N/A,N/A,N/A,No,No
35896590,5,Development/internal validation,N/A,Cox proportional hazards model,"Age, gender, BMI, SBP, DBP",0.732,0.732,N/A,N/A,N/A,No,No
35896590,6,Development/internal validation,N/A,Cox proportional hazards model,"Age, parental hypertension, SBP, DBP, BMI, age by BMI",0.735,0.735,N/A,N/A,N/A,No,No
41987941,1,Development/internal validation,DLI / DeepLungIPN,Computer vision-based / deep learning model,"CT imaging, clinical variables",Overall AUC: 0.723; cohort-wise AUCs: BRONCH 0.609; MCL_VUMC 0.827; MCL_UPMC 0.983; MCL_DECAMP 0.738; MCL_UCD 0.938; VLSP 0.510; LI-VUMC 0.824; NLST_test_nodule 0.545; NLST_test 0.534; CI N/A.,N/A,N/A,N/A,N/A,No,N/A
41987941,2,Development/internal validation,DLS / DeepLungScreening,Computer vision-based / deep learning model,"CT imaging, clinical variables",Overall AUC: 0.718; cohort-wise AUCs: BRONCH 0.643; MCL_VUMC 0.765; MCL_UPMC 0.880; MCL_DECAMP 0.753; MCL_UCD 0.805; VLSP 0.811; LI-VUMC 0.545; NLST_test_nodule 0.627; NLST_test 0.634; CI N/A.,N/A,N/A,N/A,N/A,No,N/A
41987941,3,Development/internal validation,Sybil,Computer vision-based / deep learning model,CT imaging without manual nodule annotations,Overall AUC: 0.785; cohort-wise AUCs: BRONCH 0.657; MCL_VUMC 0.829; MCL_UPMC 0.923; MCL_DECAMP 0.654; MCL_UCD 0.801; VLSP 0.783; LI-VUMC 0.725; NLST_test_nodule 0.853; NLST_test 0.838; exact CI N/A.,N/A,N/A,N/A,N/A,No,N/A
41987941,4,Development/internal validation,Per-Cohort Best Model,Cohort-specific model selection strategy,"CT imaging, structured metadata, clinical variables, nodule-level features, longitudinal CT when required",Overall AUC: 0.832; cohort-wise AUCs: BRONCH 0.657; MCL_VUMC 0.829; MCL_UPMC 0.983; MCL_DECAMP 0.753; MCL_UCD 0.938; VLSP 0.811; LI-VUMC 0.824; NLST_test_nodule 0.853; NLST_test 0.838; exact CI N/A.,N/A,N/A,N/A,N/A,No,N/A
41987941,5,Development/internal validation,Retrieval Model / Cohort-Aware Agent / Retrieval-augmented model selection framework,Retrieval-augmented model selection using FAISS similarity search plus LLM-based reasoning,"Age, gender, BMI, smoking status, imaging features.","Overall AUC: 0.843; cohort-wise AUCs: BRONCH 0.660; MCL_VUMC 0.804; MCL_UPMC 1.000; MCL_DECAMP 0.761; MCL_UCD 0.892; VLSP 0.810; LI-VUMC 0.842; NLST_test_nodule 0.982; NLST_test 0.840; mean delta AUC versus Per-Cohort Best Model 0.0117 with 95% bootstrap CI [-0.0136, 0.0457]; exact overall AUC CI N/A.",N/A,Cohort retrieval top-1 accuracy: 0.667 for Metadata + Pooled Feature + Cosine; prediction-model classification accuracy N/A.,N/A,N/A,No,N/A
41957866,1,External validation,BWHS model / BWHS calculator,Absolute breast cancer risk prediction model; specific statistical algorithm N/A in article text,"First-degree family history of breast cancer and prostate cancer; breast biopsy; age at menarche; ever parous; breastfeeding; body mass index current and at age 18; menopausal status; bilateral oophorectomy; age interactions with family history of breast cancer, breast biopsy, and age at menarche; interaction between menopausal status and current BMI",Overall age-adjusted AUC 0.58 (95% CI 0.56-0.59). Age-specific AUCs: 30-39: 0.64; 40-44: 0.58; 45-49: 0.56; 50-54: 0.58; 55-59: 0.57; 60-64: 0.57; 65-70: 0.59.,N/A,N/A,N/A,Overall expected/observed ratio 0.99 (95% CI 0.95-1.04) in Table 1; abstract reports 0.99 (95% CI 0.94-1.04).,No,N/A
41957866,2,External validation,BCRAT model / NCI Breast Cancer Risk Assessment Tool / Gail model / BCRAT CARE model for Black women,Absolute breast cancer risk prediction model; underlying algorithm not explicitly reported in provided text,Number of breast biopsies; atypical hyperplasia; age at menarche; number of first-degree relatives with breast cancer; interaction between age and number of breast biopsies.,"Overall age-adjusted AUC 0.56 (95% CI 0.55-0.57). Age-specific AUCs: 30-39: 0.62; 40-44: 0.56; 45-49: 0.54; 50-54: 0.58; 55-59: 0.56; 60-64: 0.54; 65-70: 0.56. Difference from BWHS model AUC: delta=0.014, p=0.013.",N/A,N/A,N/A,Overall expected/observed ratio 0.97 (95% CI 0.93-1.02).,No,N/A
41957866,3,External validation,IBIS model / Tyrer-Cuzick model / TC 8,Absolute breast cancer risk prediction model; underlying statistical algorithm not explicitly stated,Full IBIS model includes age at menarche; number of live births; age at first birth; menopausal status; age at menopause; height; weight; history of hyperplasia/usual and/or atypical; history of ovarian cancer and age at diagnosis; Ashkenazi Jewish heritage; hormone replacement therapy use; BRCA1/2 test results; extensive family history of breast and ovarian cancer; breast density; polygenic SNP score.,"Overall age-adjusted AUC 0.56 (95% CI 0.55-0.57). Age-specific AUCs: 30-39: 0.62; 40-44: 0.56; 45-49: 0.54; 50-54: 0.56; 55-59: 0.56; 60-64: 0.55; 65-70: 0.55. Difference from BWHS model AUC: delta=0.015, p=0.028.",N/A,N/A,N/A,Overall expected/observed ratio 1.13 (95% CI 1.08-1.18).,No,N/A
41299673,1,Development/internal validation,Logistic regression Model I / unadjusted model,Logistic regression,log-ALI,N/A; ROC analysis compared Model 1 and Model 3 but exact Model I AUC was not explicitly reported.,N/A,N/A,N/A,N/A,No,N/A
41299673,2,Development/internal validation,Logistic regression Model II / demographic-adjusted model,Logistic regression,"log-ALI, age, race, gender, poverty level, education, marital status",N/A,N/A,N/A,N/A,N/A,No,N/A
41299673,3,Development/internal validation,Logistic regression Model III / fully adjusted model,Logistic regression,"log-ALI, age, race, gender, poverty level, education, marital status, BMI, smoking status, alcohol consumption, hypertension, diabetes, CVD",AUC 0.848 (95% CI 0.828-0.867); DeLong test p<0.001 compared with unadjusted version.,N/A,N/A,N/A,"ROC curve used for discrimination; no calibration curve, Hosmer-Lemeshow test, Brier score, O/E ratio, calibration slope, or calibration intercept reported.",No,N/A
41299673,4,Development/internal validation,Logistic Regression baseline control in ML framework,Logistic regression,"log-ALI, neutrophil, lymphocyte, age, marital status, alcohol consumption, BMI, albumin, poverty level, smoking status, sex, education level, diabetes, hypertension, CVD, race",Training set AUC 0.848; test set AUC 0.824.,N/A,N/A,N/A,N/A,No,N/A
41299673,5,Development/internal validation,XGBoost,Extreme gradient boosting,"log-ALI, neutrophil, lymphocyte, age, marital status, alcohol consumption, BMI, albumin, poverty level, smoking status, sex, education level, diabetes, hypertension, CVD, race",N/A; evaluated in ML framework but exact AUC not explicitly provided in main text.,N/A,N/A,N/A,N/A,No,N/A
41299673,6,Development/internal validation,Decision Tree / DT,Decision tree,"log-ALI, neutrophil, lymphocyte, age, marital status, alcohol consumption, BMI, albumin, poverty level, smoking status, sex, education level, diabetes, hypertension, CVD, race",N/A; evaluated in ML framework but exact AUC not explicitly provided in main text.,N/A,N/A,N/A,N/A,No,N/A
41299673,7,Development/internal validation,Multilayer Perceptron / MLP,Multilayer perceptron,"log-ALI, neutrophil, lymphocyte, age, marital status, alcohol consumption, BMI, albumin, poverty level, smoking status, sex, education level, diabetes, hypertension, CVD, race",N/A; evaluated in ML framework but exact AUC not explicitly provided in main text.,N/A,N/A,N/A,N/A,No,N/A
41299673,8,Development/internal validation,Neural Networks / NNET,Neural network,"log-ALI, neutrophil, lymphocyte, age, marital status, alcohol consumption, BMI, albumin, poverty level, smoking status, sex, education level, diabetes, hypertension, CVD, race",N/A; evaluated in ML framework but exact AUC not explicitly provided in main text.,N/A,N/A,N/A,N/A,No,N/A
41299673,9,Development/internal validation,K-nearest neighbors / KNN,K-nearest neighbors,"log-ALI, neutrophil, lymphocyte, age, marital status, alcohol consumption, BMI, albumin, poverty level, smoking status, sex, education level, diabetes, hypertension, CVD, race",N/A; evaluated in ML framework but exact AUC not explicitly provided in main text.,N/A,N/A,N/A,N/A,No,N/A
41299673,10,Development/internal validation,LightGBM,Light gradient boosting machine,"log-ALI, neutrophil, lymphocyte, age, marital status, alcohol consumption, BMI, albumin, poverty level, smoking status, sex, education level, diabetes, hypertension, CVD, race",Training set AUC 0.870; test set AUC 0.832; abstract reports LightGBM AUC 0.870.,N/A,N/A,0.817,N/A; other reported metrics include precision 0.999 and specificity 0.860; sensitivity and NPV evaluated but exact values N/A.,No,N/A
41299673,11,Development/internal validation,Support Vector Machine / SVM,Support vector machine,"log-ALI, neutrophil, lymphocyte, age, marital status, alcohol consumption, BMI, albumin, poverty level, smoking status, sex, education level, diabetes, hypertension, CVD, race",N/A; evaluated in ML framework but exact AUC not explicitly provided in main text.,N/A,N/A,N/A,N/A,No,N/A
41883289,1,Development/internal validation,N/A,Cox proportional hazards regression,"T2DM, age, genotype array, genetic PC 1 to 10, IGF-1, plus PrCa PRS in PRS-additive model.",N/A,Reference C-index 0.709 (0.704-0.715); PRS-additive C-index 0.758 (0.753-0.764); difference 0.049 (0.049-0.049).,N/A,N/A,"Calibration N/A; continuous NRI 0.449 (0.423-0.474), p<0.001.",No,N/A
41883289,2,Development/internal validation,N/A,Cox proportional hazards regression,"T2DM, age, genotype array, genetic PC 1 to 10, IGF-1, education years, household income, Townsend deprivation index, number in household, plus PrCa PRS in PRS-additive model.",N/A,Reference C-index 0.713 (0.707-0.719); PRS-additive C-index 0.761 (0.755-0.766); difference 0.048 (0.048-0.047).,N/A,N/A,"Calibration N/A; continuous NRI 0.448 (0.421-0.475), p<0.001.",No,N/A
41883289,3,Development/internal validation,N/A,Cox proportional hazards regression,"T2DM, age, genotype array, genetic PC 1 to 10, IGF-1, education years, household income, Townsend deprivation index, number in household, BMI, height, weight, waist circumference, systolic blood pressure, diastolic blood pressure, total cholesterol, HDL cholesterol, LDL cholesterol, triglycerides, creatinine, eGFR, fasting blood glucose, HbA1c, plus PrCa PRS in PRS-additive model.",N/A,Reference C-index 0.715 (0.709-0.721); PRS-additive C-index 0.762 (0.756-0.768); difference 0.047 (0.047-0.047).,N/A,N/A,"Calibration N/A; continuous NRI 0.445 (0.417-0.473), p<0.001.",No,N/A
41883289,4,Development/internal validation,N/A,Cox proportional hazards regression,"T2DM, age, genotype array, genetic PC 1 to 10, IGF-1, education years, household income, Townsend deprivation index, number in household, BMI, height, weight, waist circumference, systolic blood pressure, diastolic blood pressure, total cholesterol, HDL cholesterol, LDL cholesterol, triglycerides, creatinine, eGFR, fasting blood glucose, HbA1c, hypercholesterolaemia, hypertension, heart failure, chronic kidney disease, any stroke, diabetic hypoglycemia, coronary artery disease, plus PrCa PRS in PRS-additive model.",N/A,Reference C-index 0.716 (0.709-0.722); PRS-additive C-index 0.763 (0.757-0.768); difference 0.047 (0.048-0.046).,N/A,N/A,"Calibration N/A; continuous NRI 0.444 (0.416-0.471), p<0.001.",No,N/A
42015082,1,Development/internal validation,Light Gradient Boosting Machine model / LGBM model,Light Gradient Boosting Machine,N/A,Internal validation/test set AUC 0.87 (95% CI 0.82-0.89).,N/A,N/A,N/A,N/A; specific calibration results not explicitly reported.,No,N/A
42015082,2,External validation,Externally validated LGBM model,Light Gradient Boosting Machine,N/A,External validation AUC 0.84 (95% CI 0.82-0.87).,N/A,N/A,N/A,N/A,No,N/A
41861086,1,Development/internal validation,Logistic regression / LR,Logistic regression,"Age, education, family income, family size, occupation, ever smoke cigarette, eat fruit, eat meat, eat sweet, vigorous activity, height, weight, BMI",0.73,N/A,70%,70%,N/A,No,N/A
41861086,2,Development/internal validation,Decision tree / DT,Decision tree,"Age, education, family income, family size, occupation, ever smoke cigarette, eat fruit, eat meat, eat sweet, vigorous activity, height, weight, BMI",0.72,N/A,68%,68%,N/A,No,N/A
41861086,3,Development/internal validation,Random forest / RF,Random forest,"Age, education, family income, family size, occupation, ever smoke cigarette, eat fruit, eat meat, eat sweet, vigorous activity, height, weight, BMI",0.8,N/A,72%,71%,N/A,No,N/A
41861086,4,Development/internal validation,Extreme gradient boosting / XGBoost,XGBoost,"Age, education, family income, family size, occupation, ever smoke cigarette, eat fruit, eat meat, eat sweet, vigorous activity, height, weight, BMI",0.78,N/A,71%,70%,N/A,No,N/A
41861086,5,Development/internal validation,Light gradient boosting machine / LightGBM,LightGBM,"Age, education, family income, family size, occupation, ever smoke cigarette, eat fruit, eat meat, eat sweet, vigorous activity, height, weight, BMI",0.73,N/A,70%,70%,N/A,No,N/A
42037684,1,Development/internal validation,LR,Logistic regression,N/A,0.8,N/A,0.8,N/A,N/A,No,N/A
42037684,2,Development/internal validation,MLP,Multilayer perceptron,N/A,0.79,N/A,0.788,N/A,N/A,No,N/A
42037684,3,Development/internal validation,GNB,Gaussian Naive Bayes,N/A,0.79,N/A,0.781,N/A,N/A,No,N/A
42037684,4,Development/internal validation,SVC,Support Vector Classifier,N/A,0.78,N/A,0.769,N/A,N/A,No,N/A
42037684,5,Development/internal validation,Linear SVC,Linear Support Vector Classifier,N/A,0.78,N/A,0.789,N/A,N/A,No,N/A
42037684,6,Development/internal validation,DT,Decision Tree,N/A,0.95,N/A,0.946,N/A,N/A,No,N/A
42037684,7,Development/internal validation,RF before optimization,Random Forest,N/A,0.97,N/A,0.967; false positive 0.045; false negative 0.020; sensitivity 0.981; specificity 0.953; G-Mean 0.967,N/A,N/A,No,N/A
42037684,8,Development/internal validation,RF after optimization / proposed RF algorithm-based model,Random Forest optimized using Rao-1 algorithm,N/A,N/A,N/A,0.972; false positive 0.042; false negative 0.013; sensitivity 0.988; specificity 0.956; G-Mean 0.972,N/A,N/A,No,N/A
42039745,1,External validation,Random forest model / RF model,Random forest,"Invasive catheters, prior antibiotic exposure, COPD, intra-abdominal infection, RDW-SD, calcium",Training AUC 1.000; internal validation/test AUC 0.837; external validation AUC 0.816; sensitivity analyses: internal test AUC 0.837 (95% CI 0.760-0.914) using MICE and complete-case AUC 0.806 (95% CI 0.704-0.908); external validation AUC 0.816 (95% CI 0.746-0.891) using MICE and complete-case AUC 0.804 (95% CI 0.738-0.871).,N/A,Training accuracy 1.000; internal validation/test accuracy 0.930; external validation accuracy N/A.,Training F1 score 1.000; internal validation/test F1 score 0.286; external validation F1 score N/A.,"Training Brier score 0.019; internal validation/test Brier score 0.057; external validation calibration plot appropriate with Hosmer-Lemeshow P=0.896; calibration curves reported for training, internal validation, and external validation.",Yes,N/A
42039745,2,Development/internal validation,Logistic Regression,Logistic regression,N/A,Training AUC 0.830; internal validation/test AUC 0.796.,N/A,Training accuracy 0.682; internal validation/test accuracy 0.699.,Training F1 score 0.271; internal validation/test F1 score 0.262.,Training Brier score 0.055; internal validation/test Brier score 0.062; calibration curves reported.,N/A,N/A
42039745,3,Development/internal validation,Decision Tree,Decision tree,N/A,Training AUC 0.769; internal validation/test AUC 0.725.,N/A,Training accuracy 0.937; internal validation/test accuracy 0.930.,Training F1 score 0.316; internal validation/test F1 score 0.138.,Training Brier score 0.055; internal validation/test Brier score 0.060; calibration curves reported.,N/A,N/A
42039745,4,Development/internal validation,XGBoost,Extreme gradient boosting,N/A,Training AUC 0.860; internal validation/test AUC 0.787.,N/A,Training accuracy 0.804; internal validation/test accuracy 0.786.,Training F1 score 0.296; internal validation/test F1 score 0.296.,Training Brier score 0.053; internal validation/test Brier score 0.060; calibration curves reported.,N/A,N/A
42039745,5,Development/internal validation,SVM,Support vector machine,N/A,Training AUC 0.494; internal validation/test AUC 0.552.,N/A,Training accuracy 0.255; internal validation/test accuracy 0.239.,Training F1 score 0.110; internal validation/test F1 score 0.112.,Training Brier score 0.065; internal validation/test Brier score 0.066; calibration curves reported.,N/A,N/A
42039745,6,Development/internal validation,KNN,k-nearest neighbors,N/A,Training AUC 1.000; internal validation/test AUC 0.769.,N/A,Training accuracy 1.000; internal validation/test accuracy 0.918.,Training F1 score 1.000; internal validation/test F1 score 0.356.,Training Brier score 0.010; internal validation/test Brier score 0.062; calibration curves reported.,N/A,N/A
42039745,7,Development/internal validation,LightGBM,Light gradient boosting machine,N/A,Training AUC 0.901; internal validation/test AUC 0.764.,N/A,Training accuracy 0.799; internal validation/test accuracy 0.775.,Training F1 score 0.376; internal validation/test F1 score 0.273.,Training Brier score 0.050; internal validation/test Brier score 0.062; calibration curves reported.,N/A,N/A
42061389,1,External validation,Single-ancestry PRS,Polygenic risk score constructed using PRS-CS continuous-shrinkage method,"PRS, sex, age, genetic principal components, BMI",Incremental AUC by ancestry: European 0.07-0.14; East Asian 0.02-0.16; African or African American 0.02-0.03; Admixed American 0.02-0.04; South Asian 0.02-0.04.,N/A,N/A,N/A,N/A,No,N/A
42061389,2,External validation,Multi-ancestry PRS / PRS-CSx model,Multi-ancestry polygenic risk score using PRS-CSx,"PRS, sex, age, genetic principal components, BMI","AUC and incremental AUC by ancestry: African or African American AUC 0.63-0.75, incremental AUC 0.02-0.06; Admixed American AUC 0.71-0.77, incremental AUC 0.06-0.09; East Asian AUC 0.72-0.86, incremental AUC 0.04-0.17; European AUC 0.69-0.76, incremental AUC 0.07-0.14; South Asian AUC 0.67-0.80, incremental AUC 0.06-0.10. OR per SD: African or African American 1.73 (95% CI 1.67-1.80); Admixed American 2.82 (2.67-2.97); East Asian 2.45 (2.36-2.54); European 2.36 (2.32-2.41); South Asian 2.23 (2.05-2.42).",N/A,N/A,N/A,N/A,No,N/A
